Papilla_of_tongue	Papilla_of_the_Tongue
Ninth_thoracic_vertebra	T9_Vertebra
Semimembranosus	Semimembranosus
Muscle_cell	Muscle_Cell
Neuroblast	Neuroblast
Left_renal_vein	Left_Renal_Vein
Portion_of_neural_tissue	Nervous_Tissue
Portion_of_neural_tissue	Nerve_and_Perineural_Tissue
Pseudostratified_columnar_epithelium	Pseudostratified_Columnar_Epithelium
Right_coronary_artery	Right_Coronary_Artery
Pelvic_lymph_node	Pelvic_Lymph_Node
Psoas_major	Psoas_Major
Superficial_vein	Superficial_Vein
White_matter_of_neuraxis	White_Matter
Thoracic_lymph_node	Thoracic_Lymph_Node
Chorda_tendinea	Chordae_Tendineae
Bronchiolar_non_ciliated_cell	Clara_Cell
Dorsal	Dorsal
Eotaxin_2	CCL24_Gene
Eotaxin_2	Small_Inducible_Cytokine-A24
Eotaxin_3	Small_Inducible_Cytokine-A26
Eotaxin_3	CCL26_Gene
Left_testis	Left_Testis
Celiac_lymph_node	Celiac_Lymph_Node
Lateral_thyrohyoid_ligament	Lateral_Thyrohyoid_Ligament
Aponeurosis	Aponeurosis
Extensor_carpi_ulnaris	Extensor_Carpi_Ulnaris
Pyramidalis	Pyramidalis
CC_chemokine	Beta_Chemokine
Bone_marrow_stem_cell	Bone_Marrow_Stem_Cell
Mucus	Mucus
Upper_lobe_of_left_lung	Upper_Lobe_of_the_Left_Lung
Membranous_urethra	Membranous_Urethra
Ground_substance	Cytoplasmic_Matrix
Ground_substance	Ground_Substance
Serum	Serum
Malleus	Malleus
Sinusoid	Discontinuous_Capillary
Nerve_fiber	Axon
Fifth_thoracic_vertebra	T5_Vertebra
Protoplasmic_astrocyte	Protoplasmic_Astrocyte
Cell_nucleus	Nucleus
Alimentary_system	Gastrointestinal_System
Alimentary_system	Digestive_System
Sacro_iliac_joint	Sacroiliac_Joint
Interstitial_cell	Leydig_Cell
Interstitial_cell	Interstitial_Cell
Lipid_bilayer_of_plasma_membrane	Plasma_Membrane_Lipid_Bilayer
Mucosa_of_urinary_bladder	Bladder_Mucosa
Metacarpal_bone	Metacarpal_Bone
Calcarine_artery	Calcarine_Artery
Fontanelle	Fontanelle
White_adipose_tissue	White_Adipose_Tissue
Surface_ectoderm	Surface_Ectoderm
Medial_plantar_artery	Medial_Plantar_Artery
Electrical_synapse	Electrical_Synapse
Ganglioside	Ganglioside
Nephron	Nephron
Cortex_of_kidney	Renal_Cortex
Pisiform	Pisiform_Bone
Set_of_lumbar_vertebrae	Lumbar_Vertebra
Neck	Neck
Sacral_vertebra	Sacral_Vertebra
Axon	Axon
Flexor_digitorum_longus	Flexor_Digitorum_Longus
Transversus_abdominis	Transversus_Abdominis
Internal_thoracic_vein	Internal_Thoracic_Vein
Superior_cerebellar_artery	Superior_Cerebellar_Artery
Sclera	Sclera
Cytoplasm	Cytoplasm
Pyramidal_cell	Pyramidal_Cell
Fossa	Fossa
Root_of_nail	Root_of_the_Nail
Lymphoblast	Lymphoblast
Purkinje_neuron	Purkinje_s_Cell
Flexor_hallucis_longus	Flexor_Hallucis_Longus
Skin_of_lip	Skin_of_the_Lip
Frontal_sinus	Frontal_Sinus
Villus	Villus
Atrioventricular_node	Atrioventricular_Node
Intercostal_muscle	Intercostal_Muscle
Atrium	Cardiac_Atrium
Periosteum	Periosteum
Glucuronic_acid	Glucuronic_Acid
External	External_Ear
External	External
Trachea	Trachea
Depressor_labii_inferioris	Depressor_Labii_Inferioris
Heart	Heart
Heart	Cardiac_Ventricle
Sarcoplasm	Sarcoplasm
Posterior_mediastinum	Posterior_Mediastinum
Extensor_carpi_radialis_brevis	Extensor_Carpi_Radialis_Brevis
Brachial_artery	Brachial_Artery
Endoderm	Endoderm
Totipotent_neuroepithelial_stem_cell	Totipotent_Neuroepithelial_Stem_Cell
Alveolus	Alveolus
Renal_tubule	Renal_Tubule
Common_bile_duct	Common_Bile_Duct
Anterior_communicating_artery	Anterior_Communicating_Artery
Submucosa_of_stomach	Gastric_Submucosa
Argentaffin_cell	Argentaffin_Cell
Sternoclavicular_joint	Sternoclavicular_Joint
Posterior_surface_of_lens	Facies_Posterior_Lentis
Cortex_of_thymus	Thymus_Cortex
Choroid_plexus_of_third_ventricle	Choroid_Plexus_of_the_Third_Ventricle
Internal_intercostal_muscle	Internal_Intercostal_Muscle
Right_hypochondrium	Right_Hypochondriac_Region
Subcostal_artery	Subcostal_Artery
Endolymph	Endolymph
Clitoris	Clitoris
Genioglossus	Genioglossus
Nissl_body	Nissl_Body
Alveolar_duct	Alveolar_Duct
Skin_of_leg	Leg_Skin
Portal_venous_system	Portal_Venous_System
Gallbladder	Gallbladder
Anterior_tibial_vein	Anterior_Tibial_Vein
Semispinalis_thoracis	Semispinalis_Thoracis
Masseteric_vein	Masseteric_Vein
Internal_carotid_artery	Internal_Carotid_Artery
Stomach	Stomach
Capsule_of_lymph_node	Lymph_Node_Capsule
Astrocyte	Astrocyte
Vestibular_nuclear_complex	Vestibular_Nucleus
Phrenic_nerve	Phrenic_Nerve
Pair_of_lungs	Lung
Longissimus_capitis	Longissimus_Capitis
Mature_sperm_cell	Spermatozoon
Mature_sperm_cell	Male_Genital_System_Fluid_or_Secretion
Scapula	Scapula
Right_inguinal_part_of_abdomen	Right_Inguinal_Region
Crown_of_tooth	Corona_Dentis
Skin_of_hand	Hand_Skin
Exocrine_pancreas	Exocrine_Pancreas
Mucoid_tissue	Mucous_Connective_Tissue
Calcaneal_tendon	Achilles_Tendon
Surface_of_cell	Cell_Surface
Surface_of_cell	Cell_Surface_Receptor
Coccyx	Coccyx
Alpha_adrenergic_receptor	Alpha_Adrenergic_Receptor
Ciliary_body	Ciliary_Body
Third_lumbar_vertebra	L3_Vertebra
Organ	Organ
Cell	Normal_Cell
Cell	Cell
Cell	Cell_Space
Somite	Somite
Elastic_fiber	Elastic_Fiber
Right_lung	Right_Lung
Gluteus_medius	Gluteus_Medius
Trochlear_nerve	Trochlear_Nerve
Eyebrow	Eyebrow
Basal_part_of_pons	Pontine_Base
E_selectin	E-Selectin
Lactiferous_duct	Lactiferous_Duct
Lymphatic_system	Lymphatic_System
Histone_H2A	Histone-H2A
Body_of_gallbladder	Gallbladder_Body
Dorsalis_pedis_artery	Dorsalis_Pedis_Artery
Histone_H2B	Histone-H2B
Actin_filament	Actin_Filament
Submandibular_gland	Submandibular_Gland
Immunoglobulin_A	IgA
Falciform_ligament	Falciform_Ligament
Threonine	Threonine
Aortic_valve	Aortic_Valve
Langerhans_cell	Langerhans_Cell
Set_of_duodenal_glands	Brunner_s_Gland
Ascending_colon	Ascending_Colon
Vermiform_granule	Birbeck_Granule
Abducens_nerve	Abducens_Nerve
Alveolar_sac	Alveolar_Sac
Vomer	Vomer
Intercarpal_joint	Carpal_Joint
Fibrocartilage	Fibrocartilage
Adrenal_cortex	Adrenal_Cortex
Fascial_sheath_of_eyeball	Substantia_Propria
Dorsal_nucleus_of_vagus_nerve	Dorsal_Nucleus_of_the_Vagus_Nerve
Hematopoietic_system	Hematopoietic_System
Interdigitating_dendritic_cell	Interdigitating_Dendritic_Cell
Pineal_body	Pineal_Gland
Epithalamus	Epithalamus
Immunoglobulin_G	IgG
Immunoglobulin_D	IgD
Immunoglobulin_E	IgE
Macula_of_utricle_of_membranous_labyrinth	Macula_of_Utricle
Upper_jaw	Upper_Jaw
Type_IV_collagen	Collagen-IV
Skin_of_wrist	Wrist_Skin
Submucosa_of_trachea	Trachea_Submucosa
Immunoglobulin_M	IgM
Crypt_of_Lieberkuhn_of_small_intestine	Small_Intestinal_Crypt_of_Lieberkuhn
Chromatid	Chromatid
Proerythroblast	Proerythroblast
Chromatin	Chromatin
Supraclavicular_lymph_node	Supraclavicular_Lymph_Node
Cementoblast	Cementoblast
Patellar_ligament	Patellar_Ligament
Extensor_carpi_radialis_longus	Extensor_Carpi_Radialis_Longus
Lower_uterine_segment	Isthmus_Uteri
Vertebra	Vertebra
Central_tendon	Central_Tendon_of_the_Diaphragm
Subcostal_vein	Subcostal_Vein
Lutropin	Therapeutic_Luteinizing_Hormone
Lutropin	Luteinizing_Hormone
Thymocyte	Thymocyte
Axodendritic_synapse	Axodendritic_Synapse
Eyeball	Eye
Lumbar_artery	Lumbar_Artery
Femur	Femur
Keratin_filament	Keratin_Filament
Hepatogastric_ligament	Hepatogastric_Ligament
Carina_of_trachea	Carina
Muscle_of_pharynx	Pharyngeal_Muscle
Follitropin	Follicle_Stimulating_Hormone
Follitropin	Folitropin
Follitropin	Therapeutic_Follicle_Stimulating_Hormone
Embryonic_stem_cell	Embryonic_Stem_Cell
Endothelium_of_capillary	Capillary_Endothelium
Decidua_capsularis	Decidua_Capsularis
Tendinous_cuff	Rotator_Cuff
Humerus	Humerus
Glomerular_basement_membrane	Glomerular_Basement_Membrane
Episcleral_layer_of_eyeball	Episclera
Falx_cerebri	Falx_Cerebri
Thrombospondin	Thrombospondin
Flexor_carpi_radialis	Flexor_Carpi_Radialis
Anocutaneous_line	Anocutaneous_Line
Pituitary_gland	Anterior_Lobe_of_the_Pituitary_Gland
Pituitary_gland	Pituitary_Gland
Ovary	Ovary
Secondary_oocyte	Secondary_Oocyte
Arm	Arm
Omentum	Omentum
Cerebral_white_matter	Cerebral_White_Matter
Striated_border	Striated_Border
Occipital_artery	Occipital_Artery
Rough_endoplasmic_reticulum	Rough_Endoplasmic_Reticulum
Zygomaticus_major	Zygomaticus_Major
Soleus	Soleus
Left_lung	Left_Lung
Protoplasm	Protoplasm
Endosteum	Endosteum
Submucosa	Submucosa
Cerebellomedullary_cistern	Cisterna_Magna
Fenestrated_capillary	Fenestrated_Capillary
Interstitial_cell_of_pineal_gland	Interstitial_Cell_of_the_Pineal_Gland
Lower_jaw	Lower_Jaw
Thyroepiglotticus	Thyroepiglottic_Muscle
Lamina_densa	Basal_Lamina
Lamina_densa	Lamina_Densa
Branch_of_middle_cerebral_artery	Middle_Cerebral_Artery_Branch
Mannose	Mannose
Muscle_spindle	Muscle_Spindle
Type_I_cell_of_carotid_body	Glomus_Cell
Epithelium_of_choroid_plexus	Choroid_Plexus_Epithelium
Ciliated_columnar_cell_of_tracheobronchial_tree	Ciliated_Bronchial_Epithelial_Cell
Mediastinum	Mediastinum
Peptide_hormone	Peptide_Hormone
Set_of_tarsal_bones	Tarsal_Bone
Dorsal_nasal_artery	Dorsal_Nasal_Artery
Erythrocyte	Erythrocyte
Multipotent_stem_cell	Multipotent_Stem_Cell
Epidermis	Epidermis
Superficial_palmar_arterial_arch	Superficial_Palmar_Arch
Tyrosine	Tyrosine
Orbiculus_ciliaris	Orbiculus_Ciliaris
Pulmonary_vein	Pulmonary_Vein
Cell_coat	Glycocalyx
Areola	Areola
Metacarpophalangeal_joint	Metacarpophalangeal_Joint
Glucagon	Glucagon
Glucagon	Therapeutic_Glucagon
Left_common_carotid_artery	Left_Common_Carotid_Artery
Ileocecal_valve	Ileocecal_Valve
Mucosa	Mucosa
Mucosa	Mucous_Membrane
Renal_artery	Renal_Artery
Choroid	Choroid
Mitral_valve	Mitral_Valve
Colon	Colon
Parotid_gland	Parotid_Gland
Cardiac_nerve_plexus	Cardiac_Nerve_Plexus
Semispinalis_cervicis	Semispinalis_Cervicis
Rete_testis	Rete_Testis
Left_subclavian_artery	Left_Subclavian_Artery
Cricothyroid_ligament	Cricothyroid_Ligament
Foramen_secundum	Foramen_Secundum
Sweat	Sweat
Crus_of_helical_part_of_auricular_cartilage	Crus_Helicis
Ileal_vein	Ileal_Vein
Conchal_part_of_pinna	Concha
Lateral_ventricle	Lateral_Ventricle
Amygdala	Amygdala
Amygdala	Amygdaloid_Body
Intrahepatic_bile_duct	Intrahepatic_Bile_Duct
Inferior_temporal_gyrus	Inferior_Temporal_Gyrus
Bone_of_pisiform	Pisiform_Bone
Proximal	Proximal
Luminal	Luminal
Nephrogenic_cord	Nephrogenic_Cord
Membrane	Membrane
Membrane	Tympanic_Membrane
Ventral	Ventral
Set_of_bronchi	Bronchus
Unmyelinated_nerve_fiber	Unmyelinated_Nerve_Fiber
Optic_nerve	Optic_Nerve_Neoplasm
Optic_nerve	Optic_Nerve
Kidney	Kidney
Posterior_tibial_vein	Posterior_Tibial_Vein
Primordium	Primordium
Cone	Cone_Shape
Cone	Cone
Follicular_dendritic_cell	Follicular_Dendritic_Cell
Medial_forebrain_bundle	Medial_Forebrain_Bundle
Juxtaglomerular_cell	Juxtaglomerular_Cell
Submucosa_of_large_intestine	Large_Intestinal_Submucosa
Unilaminar_epithelium	Simple_Epithelium
Seminiferous_tubule_of_testis	Seminiferous_Tubule
Anterior_mediastinum	Anterior_Mediastinum
Line	Line
Epithelium_of_bronchiole	Bronchiole_Epithelium
Cerebellopontine_angle	Cerebellopontine_Angle
Putamen	Putamen
Eleventh_thoracic_vertebra	T11_Vertebra
Lateral_occipital_sulcus	Lateral-occipital_Sulcus
Nasal_cavity	Nasal_Cavity
Nose	Nose
Limb	Extremities
Limb	Limb
Thyroid_follicular_cell	Thyroid_Gland_Follicular_Cell
Bone_tissue	Bone_Tissue
Subscapularis	Subscapularis
Thoracic_cavity	Thoracic_Cavity
External_iliac_vein	External_Iliac_Vein
Dental_pulp	Dental_Pulp
Bronchial_tree	Bronchial_Tree
Middle_ear	Ear_Middle_Ear_MMHCC
Middle_ear	Middle_Ear
Pharyngotympanic_tube	Eustachian_Tube
Neuraxis	Central_Nervous_System
Neurofilament	Neurofilament
Epithelium_of_terminal_bronchiole	Terminal_Bronchiole_Epithelium
Infraclavicular_part_of_chest	Infraclavicular_Region
Antitragus	Antitragus
Ascending_limb_of_loop_of_Henle	Ascending_Limb_of_the_Henle_s_Loop
Visceral_pleura	Visceral_Pleura
Adrenal_medulla	Adrenal_Medulla
Bone_of_lunate	Lunate_Bone
Basicranium	Base_of_the_Skull
Glandular_cell_of_endometrium	Endometrial_Cell
Great_saphenous_vein	Long_Saphenous_Vein
Sinuatrial_node	Sinoatrial_Node
Glutamic_acid	Glutamic_Acid
Foot	Foot
Pituicyte	Pituicyte
Endoplasmic_reticulum	Endoplasmic_Reticulum
Cementocyte	Cementocyte
Geniohyoid	Geniohyoid
Axillary_lymph_node	Axillary_Lymph_Node
Left_lobe_of_liver	Left_Lobe_of_the_Liver
Outer_nuclear_layer_of_retina	Outer_Nuclear_Layer_of_Retina
Cerebral_crus	Crus_Cerebri
Dentine	Dentin
Thyro_epiglottic_ligament	Thyroepiglottic_Ligament
Selectin	Selectin
Hemoglobin	Hemoglobin
Vitreous_body	Vitreous_Body
Globular_actin	G-actin
Deep_temporal_vein	Deep_Temporal_Vein
Cytotrophoblast	Cytotrophoblast
Histone_H3	Histone-H3
Foam_cell	Foam_Cell
Serous_membrane	Serosa
Histone_H4	Histone-H4
Hymen_of_vagina	Hymen
Capsule_of_lens	Lens_Capsule
Granular_component_of_nucleolus	Nucleolonema
Stomatognathic_system	Stomatognathic_System
Osteoclast	Osteoclast
Thorax	Thorax
Thorax	Chest
Basilic_vein	Basilic_Vein
Mucosa_associated_lymphoid_tissue	Mucosa-Associated_Lymphoid_Tissue
Basophil	Leukocyte_Myelocyte_Granulocyte_Basophil_MMHCC
Basophil	Basophil
Liver_parenchyma	Hepatic_Tissue
External_acoustic_tube	External_Acoustic_Meatus
Cortex_of_lymph_node	Lymph_Node_Cortex
Vein	Vein
Frontal_horn_of_lateral_ventricle	Frontal_Horn_of_the_Lateral_Ventricle
Perineurium	Perineurium
Whole_portion_of_vitreous_humor	Vitreous_Humor
Liver	Liver
Mesothelial_cell_of_peritoneum	Peritoneal_Mesothelial_Cell
Medial	Medial
Inferior_vena_cava	Inferior_Vena_Cava
Scrotum	Scrotum
Communicating_cell_junction	Gap_Junction
Odontoblast	Odontoblast
Polychromatophilic_erythroblast	Polychromatophilic_Erythroblast
Olfactory_receptor_cell	Olfactory_Receptor_Neuron
Olfactory_receptor_cell	Olfactory_Cell
Integrin	Integrin
Olfactory_tract	Olfactory_Tract
Rib	Rib
Hair_root	Hair_Root
Mucosa_of_anal_canal	Anal_Mucosa
Trapezoid	Trapezoid
Trapezoid	Trapezoid_Bone
Cavity_of_concha_of_pinna	Cavum_Conchae
Knee_joint	Knee_Joint
Nucleus_accumbens	Accumbens_Nucleus
Pericardium	Pericardium
Cusp_of_cardiac_valve	Cardiac_Valve_Cusp
Labium_minus	Labium_Minus
Superior_thoracic_artery	Superior_Thoracic_Artery
Fifth_lumbar_vertebra	L5_Vertebra
Nucleus_ambiguus	Nucleus_Ambiguus
Mitochondrial_matrix	Mitochondrial_Matrix
Posterior_external_jugular_vein	Posterior_External_Jugular_Vein
Trabecula_of_lymph_node	Lymph_Node_Trabecula
Lutein_cell	Lutein_Cell
Organ_system	Organ_System
Hepatic_stem_cell	Liver_Stem_Cell
Prostate	Prostate_Gland
Common_iliac_vein	Common_Iliac_Vein
Base_of_prostate	Base_of_the_Prostate
Sigmoid_artery	Sigmoid_Artery
Actin_binding_protein	Actin-Binding_Protein
Sarcoplasmic_reticulum	Sarcoplasmic_Reticulum
Muscularis_mucosae	Muscularis_Mucosa
Ganglion_cell_of_retina	Retinal_Ganglion_Cell
Nasolacrimal_duct	Nasolacrimal_Duct
Hyaline_cartilage	Hyaline_Cartilage
Dopamine_receptor	Dopamine_Receptor
Cochlear_hair_cell	Hair_Cell
Androgen	Androgen
Interneuron	Interneuron
Vastus_lateralis	Vastus_Lateralis
Deoxyribonucleic_acid	Deoxyribonucleic_Acid
Epithelium_of_ciliary_body	Ciliary_Epithelium
Neck_of_tooth	Collum_Dentis
Epithelium_of_trachea	Tracheal_Epithelium
Cerebral_hemisphere	Cerebral_Hemisphere
Common_iliac_artery	Common_Iliac_Artery
Superficial	Superficial
Set_of_bones	Bone
Follicular_stimulating_hormone	Follicle_Stimulating_Hormone
Female_urethra	Female_Urethra
Autosome	Autosome
Sinus_venosus	Sinus_Venosus
Posterior_cochlear_nucleus	Dorsal_Cochlear_Nucleus
Maxillary_vein	Internal_Maxillary_Vein
Squamous_cell	Squamous_Cell
Bulbar_conjunctiva	Bulbar_Conjunctiva
Pinna	Auricle
Pinna	External_Ear
Afferent_neuron	Sensory_Neuron
Left_uterine_tube	Left_Fallopian_Tube
External_carotid_artery	External_Carotid_Artery
Cervix_of_uterus	Cervix
Left_main_bronchus	Left_Main_Bronchus
Pancreas	Islet_of_Langerhans
Pancreas	Pancreas
Gustatory_pore	Taste_Pore
Abdominal_aorta	Abdominal_Aorta
Left_hepatic_duct	Left_Hepatic_Duct
Olfactory_trigone	Trigonum_Olfactorium
Atlanto_axial_joint	Atlanto-axial_Joint
Set_of_spinal_nerves	Spinal_Nerve
Myoblast	Myoblast
Superior_surface_of_liver	Superior_Surface_of_the_Liver
Auditory_ossicle	Auditory_Ossicle
Collagen_fibril	Collagen_Fibril
Mastoid_process	Mastoid_Process
Inferior_rectal_artery	Inferior_Rectal_Artery
Neural_crest_cell	Neural_Crest_Cell
Tuber_cinereum	Tuber_Cinereum
Jaw	Jaw
Epithelium_of_choroid_plexus_of_fourth_ventricle	Choroid_Plexus_Epithelium_of_the_Fourth_Ventricle
Cartilage_of_external_ear	External_Ear_Cartilage
Nerve_root	Nerve_Root
Skeletal_system	Skeletal_System
Posterior_spinal_artery	Posterior_Spinal_Artery
Secondary_tooth	Permanent_Tooth
Head	Head
Inferior_suprarenal_artery	Inferior_Suprarenal_Artery
Right_brachiocephalic_vein	Right_Innominate_Vein
Superficial_middle_cerebral_vein	Superficial_Middle_Cerebral_Vein
Fornix_of_vagina	Vaginal_Fornix
Pancreatic_tributary_of_splenic_vein	Pancreatic_Vein
Posterior_wall_of_laryngopharynx	Posterior_Wall_of_the_Hypopharynx
Adrenal_gland	Adrenal_Gland
Anterior_surface_of_lens	Anterior_Surface_of_the_Lens
Cell_to_matrix_adherens_junction	Cell-to-extracellular_Matrix_Junction
P_selectin	P-Selectin
Alveolar_macrophage	Alveolar_Macrophage
Myosin_myofilament	Thick_Filament
Oculomotor_nerve	Oculomotor_Nerve
Posterior_lobe_of_prostate	Posterior_Lobe_of_the_Prostate
Histone_H1	Histone-H1
Sweat_gland_of_eyelid	Gland_of_Moll
Wall_of_body_of_uterus	Wall_of_Body_of_Uterus
Jugular_foramen	Jugular_Foramen
Body_of_nail	Body_of_the_Nail
Endothelium_of_venule	Venule_Endothelium
Scalene_muscle	Scalene_Muscle
Transitional_cell	Transitional_Cell
Follicle_of_ovary	Ovarian_Follicle
Inferior_vestibular_nucleus	Spinal_Vestibular_Nucleus
Cerebellar_cortex	Cerebellar_Cortex
Phrenic_artery	Phrenic_Artery
Anterior_temporal_artery	Anterior_Temporal_Artery
Bulbo_urethral_gland	Cowper_s_Gland
Kinocilium	Kinocilium
Endosome	Endosome
Embryonic_tissue	Embryonic_Tissue
Superior_colliculus	Anterior_Quadrigeminal_Body
Ligament	Ligament
Abdomen	Abdominal_Cavity
Serotonin	Serotonin
Cochlear_nucleus	Cochlear_Nuclei
Cochlear_nucleus	Cochlear_Nucleus
Pelvic_girdle	Pelvic_Girdle
Obturator_artery	Obturator_Artery
Set_of_pancreatic_islets	Islet_of_Langerhans
Greater_omentum	Greater_Omentum
Stroma_of_ovarian_cortex	Stroma_of_the_Ovarian_Cortex
Plakoglobin	Junction_Plakoglobin
Right_renal_artery	Right_Renal_Artery
Elastic_cartilage	Elastic_Cartilage
Subcutaneous_adipose_tissue	Subcutis
Exocrine_system	Exocrine_System
Superior_mesenteric_artery	Superior_Mesenteric_Artery
Left_colic_flexure	Splenic_Flexure
Branch_of_brachial_artery	Brachial_Artery_Branch
Synovial_bursa	Synovial_Bursa
Set_of_renal_pyramids	Renal_Medulla
Hyoid_bone	Hyoid_Bone
Middle_phalanx_of_finger	Middle_Phalanx_of_the_Hand
Nucleolus	Nucleolus
Microtubule_associated_protein	Microtubule_Associated_Protein
Superior_part_of_duodenum	First_Portion_of_the_Duodenum
Set_of_masticatory_muscles	Masseter_Muscle
Urothelium	Urothelium
Messenger_ribonucleic_acid	Messenger_RNA
Amnion	Amnion
Vestibular_sensory_cell	Vestibular_Hair_Cell
Vertebral_arch_joint	Facet_Joint
Stromal_cell	Stromal_Cell
Somatotroph	Somatotroph
Somatotroph	Somatotrope_Cell
Splenic_cord	Splenic_Cord
Chondroblast	Chondroblast
Proteoglycan	Proteoglycan
Postcapillary_venule	Postcapillary_Venule
Phosphatidylinositol	Phosphatidylinositol
Tail_of_pancreas	Tail_of_the_Pancreas
Buccal_surface	Buccal_Surface
Skin_of_elbow	Elbow_Skin
Glans_of_clitoris	Glans_Clitoris
Simple_cuboidal_epithelium	Simple_Cuboidal_Epithelium
Anterior_cranial_fossa	Anterior_Fossa
Notochord	Notochord
Phenylalanine	Phenylalanine
Diaphragm	Diaphragm
Gray_matter_of_neuraxis	Gray_Matter
Brush_cell	Brush_Cell
Collagen	Collagen
Lentiform_nucleus	Lenticular_Nucleus
Lentiform_nucleus	Lentiform_Nucleus
Hair_shaft	Shaft_of_the_Hair
Superior_temporal_gyrus	Superior_Temporal_Gyrus
Epicardium	Epicardium
Rostrum_of_corpus_callosum	Rostrum_of_the_Corpus_Callosum
Segment_of_aorta	Aortic_Segment
Parasympathetic_nervous_system	Parasympathetic_Nervous_System
Insula	Central_Lobe
Insula	Insula
Pyrimidine	Pyrimidine
Serosa_of_uterus	Perimetrium
Special_sense_organ	Organ_of_the_Special_Sense
Left_coronary_artery	Left_Coronary_Artery
Set_of_glands	Anterior_Lobe_of_the_Pituitary_Gland
Right_kidney	Right_Kidney
Coccygeal_vertebra	Coccygeal_Vertebra
Set_of_cervical_vertebrae	Cervical_Vertebra
Erector_spinae_muscle_group	Erector_Spinae
Ulna	Ulna
Talocalcaneal_joint	Subtalar_Joint
L_selectin	Selectin-L
Sensory_neuron	Sensory_Neuron
Stratified_columnar_epithelium	Stratified_Columnar_Epithelium
Root_of_spinal_nerve	Spinal_Nerve_Root
Anterior_mediastinal_lymph_node	Anterior_Mediastinal_Lymph_Node
Intercalated_duct_of_pancreas	Intercalated_Duct_of_the_Pancreas
Uracil	Uracil
Mesodermal_cell	Mesoderm_Cell
Gamma_tubulin	Gamma-Tubulin
Lobe_of_lung	Lung_Lobe
Deltoid	Deltoid
Hilum_of_kidney	Hilar_Area_of_the_Kidney
Internal_iliac_artery	Internal_Iliac_Artery
Sternocleidomastoid	Sternocleidomastoid_Muscle
Clear_chief_cell_of_parathyroid_cell	Parathyroid_Gland_Clear_Cell
Colostrum	Colostrum
Myristic_acid	Myristic_Acid
Neural_cell_adhesion_molecule	CD56_Antigen
Neural_cell_adhesion_molecule	Neural_Cell_Adhesion_Molecule
Penis	Penis
First_lumbar_vertebra	L1_Vertebra
Ligamentum_flavum	Ligamentum_Flavum
White_matter_of_spinal_cord	White_Matter_of_the_Spinal_Cord
Lobe_of_thyroid_gland	Thyroid_Gland_Lobe
Set_of_basal_ganglia	Basal_Ganglia
Medulla_oblongata	Medulla_Oblongata
Lateral_thoracic_artery	Lateral_Thoracic_Artery
Bipolar_neuron	Bipolar_Neuron
Posterior_nucleus_of_thalamus	Posterior_Nucleus_of_the_Thalamus
Salivary_gland	Salivary_Gland
Isthmus_of_hair_follicle	Hair_Follicle_Isthmus
Plantar_metatarsal_artery	Plantar_Metatarsal_Artery
Mucosa_of_larynx	Laryngeal_Mucosa
Transversus_thoracis	Transversus_Thoracis
Clear_cell	Clear_Cell
Sacral_nerve_plexus	Sacral_Plexus
X_chromosome	Chromosome_X
Photoreceptor_layer_of_retina	Layer_of_the_Rods_and_Cones
Submandibular_ganglion	Submandibular_Ganglion
Tibial_nerve	Tibial_Nerve
Lysosome	Lysosome
Thoraco_acromial_artery	Acromial_Thoracic_Artery
Striated_muscle_cell	Striated_Muscle_Tissue_Cell
Subsegmental_bronchus	Subsegmental_Bronchus
Corpus_luteum	Corpus_Luteum
Steroid_hormone	Steroid_Hormone
Steroid_hormone	Therapeutic_Steroid_Hormone
Glucagon_secreting_cell	Alpha_Cell
Conus_medullaris	Conus_Medullaris
Column	Column
Column	Column_Structure
Parafollicular_cell_of_thyroid_gland	Parafollicular_Cell
Internal_ear	Internal_Ear
Glossopharyngeal_nerve	Glossopharyngeal_Nerve
Mitochondrial_ribonucleic_acid	Mitochondrial_RNA
Parathyroid_gland	Parathyroid_Gland
Hilum_of_lymph_node	Lymph_Node_Hilum
Body_of_lateral_ventricle	Body_of_the_Lateral_Ventricle
Body_of_lateral_ventricle	Corpus_Uteri
Facial_nucleus	Facial_Nerve_Nucleus
Tail_of_epididymis	Tail_of_the_Epididymis
Bronchiole	Bronchiole
Secretion_of_seminal_vesicle	Seminal_Vesicle_Secretion
Anterior_tibial_artery	Anterior_Tibial_Artery
Tensor_tympani	Tensor_Tympani
Inner_nuclear_membrane	Nuclear_Inner_Membrane
Autonomic_nervous_system	Autonomic_Nervous_System
Posterior_semicircular_canal	Posterior_Semicircular_Canal
Plasma_transmembrane_protein	Transmembrane_Protein
Root_canal_of_tooth	Canalis_Radicis_Dentis
Left_ventricle	Left_Ventricle
Oxyphil_cell	Oxyphil_Cell
Symphysis	Amphiarthrosis
Outer_membrane_of_mitochondrion	Outer_Mitochondrial_Membrane
Bamacan	Chondroitin_Sulfate_Proteoglycan-6
Minus_end_of_actin_filament	Minus_End_of_the_Actin_Filament
Lateral_frontobasal_artery	Lateral_Orbitofrontal_Artery
Rhamnose	Rhamnose
Thoracic_vertebral_column	Thoracic_Spine
Arteriole	Arteriole
Superior_cistern	Quadrigeminal_Cistern
Superior_cistern	Ambient_Cistern
Triquetral	Triangular_Bone
Subclavian_artery	Subclavian_Artery
Venous_sinus_of_red_pulp_of_spleen	Splenic_Sinus
Palatine_tonsil	Palatine_Tonsil
Nucleotide	Nucleotides
Skin_of_arm	Arm_Skin
