NCI_C52914	MA_0002292	Extensor_carpi_ulnaris
NCI_C32578	MA_0001950	Facial_artery
NCI_C12715	MA_0001951	Femoral_artery
NCI_C52752	MA_0000638	Skin_of_wrist
NCI_C32729	MA_0001963	Hepatic_artery
NCI_C52753	MA_0000630	Skin_of_hand
NCI_C32654	MA_0001961	Left_gastric_artery
NCI_C33669	MA_0001934	Superior_cerebellar_artery
NCI_C12830	MA_0001935	Middle_cerebral_artery
NCI_C32836	MA_0001930	Internal_carotid_artery
NCI_C52846	MA_0001931	Celiac_artery
NCI_C52983	MA_0001945	Dorsal_nasal_artery
NCI_C52755	MA_0000610	Skin_of_elbow
NCI_C12829	MA_0001915	Anterior_cerebral_artery
NCI_C32551	MA_0001929	External_carotid_artery
NCI_C32956	MA_0001927	Left_common_carotid_artery
NCI_C33473	MA_0001928	Right_common_carotid_artery
NCI_C12687	MA_0001925	Common_carotid_artery
NCI_C32352	MA_0001926	Common_carotid_artery
NCI_C32230	MA_0001923	Bronchial_artery
NCI_C52847	MA_0001924	Buccal_artery
NCI_C12681	MA_0001921	Brachial_artery
NCI_C32814	MA_0001922	Brachiocephalic_artery
NCI_C12676	MA_0001920	Basilar_artery
NCI_C48822	MA_0001908	Upper_jaw
NCI_C48821	MA_0001905	Jaw
NCI_C48823	MA_0001906	Lower_jaw
NCI_C12702	MA_0001904	Diaphragm
NCI_C53051	MA_0002167	Masseteric_vein
NCI_C53056	MA_0002183	Obturator_vein
NCI_C33687	MA_0002179	Superior_mesenteric_vein
NCI_C32782	MA_0002178	Inferior_mesenteric_vein
NCI_C33161	MA_0001299	Nasolacrimal_duct
NCI_C32560	MA_0002144	External_iliac_vein
NCI_C32909	MA_0001298	Lacrimal_sac
NCI_C32847	MA_0002145	Internal_iliac_vein
NCI_C12346	MA_0001296	Lacrimal_gland
NCI_C32359	MA_0002143	Common_iliac_vein
NCI_C53046	MA_0002140	Ileal_vein
NCI_C32907	MA_0001294	Lacrimal_canaliculus
NCI_C53047	MA_0002141	Ileocolic_vein
NCI_C32849	MA_0002157	Internal_jugular_vein
NCI_C32094	MA_0002155	Anterior_jugular_vein
NCI_C32562	MA_0002156	External_jugular_vein
NCI_C12678	MA_0001273	Biliary_system
NCI_C52802	MA_0001272	Levator_palpebrae_superioris
NCI_C33429	MA_0001292	Pupil
NCI_C13323	MA_0001286	Whole_portion_of_vitreous_humor
NCI_C52718	MA_0001256	Skin_of_eyelid
NCI_C52886	MA_0001254	Orbicularis_oculi
NCI_C52689	MA_0002105	Dorsal_metatarsal_vein
NCI_C49581	MA_0001267	Upper_eyelid
NCI_C12901	MA_0001265	Palpebral_conjunctiva
NCI_C49580	MA_0001263	Lower_eyelid
NCI_C12716	MA_0002118	Femoral_vein
NCI_C32579	MA_0002115	Facial_vein
NCI_C32315	MA_0001269	Ciliary_muscle
NCI_C12313	MA_0000390	Endometrium
NCI_C12403	MA_0000385	Uterine_tube
NCI_C12712	MA_0002564	Exocrine_gland
NCI_C12404	MA_0000384	Ovary
NCI_C33519	MA_0002565	Sebaceous_gland
NCI_C12704	MA_0002563	Endocrine_gland
NCI_C12260	MA_0002560	Pylorus
NCI_C12414	MA_0000380	Urinary_bladder
NCI_C12308	MA_0000382	Clitoris
NCI_C12405	MA_0000389	Uterus
NCI_C12598	MA_0000388	Oocyte
NCI_C32314	MA_0001238	Epithelium_of_ciliary_body
NCI_C33766	MA_0002569	Thoracic_aorta
NCI_C13060	MA_0002566	Sensory_ganglion
NCI_C12461	MA_0002567	Set_of_colliculi
NCI_C12826	MA_0002575	Posterior_tibial_artery
NCI_C12408	MA_0000395	Vulva
NCI_C32160	MA_0002576	Atrioventricular_bundle
NCI_C12707	MA_0001242	Corneal_endothelium
NCI_C32169	MA_0002573	Axillary_artery
NCI_C12328	MA_0000397	Epididymis
NCI_C12928	MA_0001243	Corneal_epithelium
NCI_C12825	MA_0002574	Anterior_tibial_artery
NCI_C32455	MA_0002571	Descending_aorta
NCI_C12311	MA_0000392	Cervix_of_uterus
NCI_C12314	MA_0000391	Myometrium
NCI_C12407	MA_0000394	Vagina
NCI_C32150	MA_0002570	Ascending_aorta
NCI_C33075	MA_0001249	Tarsal_gland
NCI_C32453	MA_0002542	Dentine
NCI_C32505	MA_0002543	Enamel
NCI_C32276	MA_0002541	Cement
NCI_C32205	MA_0001692	Mucosa_of_urinary_bladder
NCI_C49579	MA_0000360	Lobe_of_liver
NCI_C33612	MA_0001217	Stapes
NCI_C32770	MA_0001215	Incus
NCI_C32891	MA_0002546	Juxtaglomerular_complex
NCI_C32733	MA_0000367	Hepatic_sinusoid
NCI_C32735	MA_0000366	Liver_parenchyma
NCI_C33051	MA_0001216	Malleus
NCI_C33718	MA_0002544	Synovial_fluid
NCI_C13283	MA_0002545	Urine
NCI_C12415	MA_0000368	Kidney
NCI_C12887	MA_0000374	Renal_pelvis
NCI_C12740	MA_0000373	Set_of_renal_pyramids
NCI_C33611	MA_0001220	Stapedius
NCI_C32348	MA_0002551	Colostrum
NCI_C33456	MA_0000376	Renal_corpuscle
NCI_C13048	MA_0000375	Nephron
NCI_C33748	MA_0001221	Tensor_tympani
NCI_C12739	MA_0000372	Cortex_of_kidney
NCI_C12258	MA_0002559	Body_of_stomach
NCI_C12416	MA_0000378	Ureter
NCI_C49274	MA_0000377	Renal_tubule
NCI_C12854	MA_0002555	Scaphoid
NCI_C12786	MA_0002556	Lunate
NCI_C12417	MA_0000379	Urethra
NCI_C13252	MA_0002520	Lymph
NCI_C12388	MA_0000340	Jejunum
NCI_C12220	MA_0000343	Lip
NCI_C32677	MA_0000342	Gingiva
NCI_C32513	MA_0002528	Endolymph
NCI_C33297	MA_0002529	Perilymph
NCI_C12506	MA_0000348	Tooth
NCI_C52552	MA_0002526	Secretion_of_seminal_vesicle
NCI_C12422	MA_0000347	Tongue
NCI_C33006	MA_0001675	Loop_of_Henle
NCI_C13277	MA_0002522	Semen
NCI_C33529	MA_0002523	Seminal_fluid
NCI_C12426	MA_0000346	Salivary_gland
NCI_C12389	MA_0000352	Esophagus
NCI_C49324	MA_0001684	Left_ureter
NCI_C12762	MA_0000351	Oropharynx
NCI_C33045	MA_0001201	Macula_of_saccule_of_membranous_labyrinth
NCI_C49327	MA_0001685	Right_ureter
NCI_C12376	MA_0000354	Bile_duct
NCI_C12391	MA_0000353	Stomach
NCI_C34005	MA_0001683	Right_kidney
NCI_C13280	MA_0002539	Sweat
NCI_C33378	MA_0001209	Posterior_semicircular_canal
NCI_C33695	MA_0001207	Anterior_semicircular_canal
NCI_C13276	MA_0002538	Sebum
NCI_C49311	MA_0001688	Urethral_gland
NCI_C52551	MA_0002535	Nasal_mucus
NCI_C12377	MA_0000356	Gallbladder
NCI_C32421	MA_0000355	Cystic_duct
NCI_C12392	MA_0000358	Liver
NCI_C33046	MA_0001203	Macula_of_utricle_of_membranous_labyrinth
NCI_C32730	MA_0000357	Common_hepatic_duct
NCI_C33739	MA_0002508	Tear
NCI_C13234	MA_0002509	Feces
NCI_C32387	MA_0001651	Renal_column
NCI_C12779	MA_0000327	Respiratory_system
NCI_C32293	MA_0002506	Cerumen
NCI_C13275	MA_0002507	Saliva
NCI_C12841	MA_0000326	Genital_system
NCI_C32069	MA_0000329	Anal_part_of_perineum
NCI_C13250	MA_0001657	Glomerulus
NCI_C12736	MA_0000328	Intestine
NCI_C34006	MA_0001655	Left_kidney
NCI_C13325	MA_0002502	Serum
NCI_C34082	MA_0000323	Gastrointestinal_tract
NCI_C32461	MA_0000322	Synovial_joint
NCI_C12692	MA_0002503	Cerebrospinal_fluid
NCI_C33489	MA_0002500	Right_pulmonary_artery
NCI_C12886	MA_0001654	Renal_pyramid
NCI_C12375	MA_0000330	Anal_canal
NCI_C32225	MA_0001660	Glomerular_capsule
NCI_C43362	MA_0000331	Anus
NCI_C12263	MA_0000338	Duodenum
NCI_C12386	MA_0000337	Small_intestine
NCI_C12387	MA_0000339	Ileum
NCI_C32469	MA_0001666	Distal_convoluted_tubule
NCI_C13192	MA_0002513	Bile
NCI_C12381	MA_0000334	Cecum
NCI_C12379	MA_0000333	Large_intestine
NCI_C12390	MA_0000336	Rectum
NCI_C33840	MA_0001664	Bowman_s_space
NCI_C12382	MA_0000335	Colon
NCI_C12933	MA_0000309	Vertebra
NCI_C32172	MA_0000308	Axial_skeleton
NCI_C33476	MA_0001639	Right_hepatic_duct
NCI_C52772	MA_0000305	Phalanx_of_toe
NCI_C32960	MA_0001638	Left_hepatic_duct
NCI_C12368	MA_0000788	Areola
NCI_C12861	MA_0000306	Phalanx_of_finger
NCI_C52771	MA_0000306	Phalanx_of_finger
NCI_C12752	MA_0000303	Metatarsal_bone
NCI_C12698	MA_0001631	Common_bile_duct
NCI_C12751	MA_0000302	Metacarpal_bone
NCI_C13044	MA_0000319	Joint
NCI_C32910	MA_0000791	Lactiferous_duct
NCI_C12789	MA_0000316	Skull
NCI_C12782	MA_0000315	Rib
NCI_C12744	MA_0000312	Lumbar_vertebra
NCI_C12299	MA_0000796	Nipple
NCI_C12693	MA_0000311	Cervical_vertebra
NCI_C12798	MA_0000314	Thoracic_vertebra
NCI_C12853	MA_0000313	Sacral_vertebra
NCI_C33774	MA_0000767	Cortex_of_thymus
NCI_C12257	MA_0001612	Fundus_of_stomach
NCI_C33775	MA_0000771	Medulla_of_thymus
NCI_C12259	MA_0001624	Pyloric_antrum
NCI_C32582	MA_0001622	Falciform_ligament
NCI_C33318	MA_0000774	Pharyngeal_tonsil
NCI_C32981	MA_0001623	Lesser_omentum
NCI_C33250	MA_0000775	Palatine_tonsil
NCI_C33029	MA_0000740	Cortex_of_lymph_node
NCI_C49258	MA_0000750	Endothelium_of_lymphatic_vessel
NCI_C49264	MA_0001605	Epithelium_of_oropharynx
NCI_C32887	MA_0000727	Isthmus_of_thyroid_gland
NCI_C53146	MA_0000738	Popliteal_lymph_node
NCI_C32801	MA_0000737	Inguinal_lymph_node
NCI_C33028	MA_0000739	Capsule_of_lymph_node
NCI_C32298	MA_0000736	Lymph_node_of_neck
NCI_C12904	MA_0000735	Axillary_lymph_node
NCI_C49192	MA_0000705	Endothelium_of_arteriole
NCI_C49325	MA_0000719	Right_adrenal_gland
NCI_C49319	MA_0000716	Endothelium_of_venule
NCI_C49322	MA_0000718	Left_adrenal_gland
NCI_C49215	MA_0000711	Endothelium_of_capillary
NCI_C32286	MA_0002092	Cephalic_vein
NCI_C53032	MA_0002093	Cerebellar_vein
NCI_C12883	MA_0002087	Brachial_vein
NCI_C53031	MA_0002088	Bronchial_vein
NCI_C53029	MA_0002085	Azygos_vein
NCI_C32197	MA_0002086	Basilic_vein
NCI_C53041	MA_0002098	Cutaneous_vein
NCI_C53037	MA_0002096	Cerebral_vein
NCI_C12839	MA_0002069	Ulnar_artery
NCI_C53025	MA_0002068	Transverse_facial_artery
NCI_C53018	MA_0002065	Thoracodorsal_artery
NCI_C32046	MA_0002064	Thoraco_acromial_artery
NCI_C53027	MA_0002083	Anterior_auricular_vein
NCI_C32171	MA_0002084	Axillary_vein
NCI_C52686	MA_0002080	Superior_vesical_artery
NCI_C52685	MA_0002079	Inferior_vesical_artery
NCI_C12819	MA_0002077	Vertebral_artery
