Anterior_longitudinal_ligament	Anterior_Longitudinal_Ligament	anterior longitudinal ligament
Circular_muscle_layer_of_abdominal_part_of_esophagus	Lower_Esophageal_Sphincter	lower esophageal sphincter
Molar_tooth	Molar_Tooth	molar tooth
Cricothyroid_joint	Cricothyroid_Joint	cricothyroid joint
Capillary	Blood_Capillary	blood capillary
Major_salivary_gland	Major_Salivary_Gland	major salivary gland
Anterior_auricular_vein	Anterior_Auricular_Vein	anterior auricular vein
Lymphokine_activated_natural_killer_cell	Lymphokine-Activated_Natural_Killer_Cell	lymphokine activated natural killer cell
Membranous_labyrinth	Membranous_Labyrinth	membranous labyrinth
Caproic_acid	Caproic_Acid	hexanoic acid
Left_subcostal_vein	Left_Subcostal_Vein	left subcostal vein
Semispinalis_capitis	Semispinalis_Capitis	semispinalis capitis
Intestinal_secretion	Intestinal_Secretion	intestinal secretion
Anterior_meningeal_branch_of_anterior_ethmoidal_artery	Anterior_Meningeal_Artery	anterior meningeal artery
Fusiform_cell	Fusiform_Cell	fusiform cell
Tonsillar_ring	Waldeyers_Tonsillar_Ring	waldeyer s tonsillar ring
Foramen_magnum	Foramen_Magnum	foramen magnum
Glandular_cell_of_stomach	Gastric_Glandular_Cell	gastric glandular cell
Temporalis	Temporal_Muscle	temporal muscle
Cell_junction	Cell_Junction	cell junction
Right_testis	Right_Testis	right testis
Ganglion_cell	Ganglion_Cell	ganglion cell
Lactiferous_terminal_ductal_lobular_unit	Terminal_Ductal_Lobular_Unit	tdlu
Obturator_muscle	Obturator_Muscle	obturator muscle
Sulcus_limitans	Sulcus_Limitans	sulcus limitans
Tentorium_cerebelli	Tentorium_Cerebelli	tentorium cerebelli
Internal_thoracic_artery	Internal_Mammary_Artery	internal thoracic artery
Gastrophrenic_ligament	Gastrophrenic_Ligament	gastrophrenic ligament
Peritoneal_macrophage	Peritoneal_Macrophage	peritoneal macrophage
Buccal_salivary_gland	Buccal_Salivary_Gland	buccal salivary gland
Semicircular_duct	Semicircular_Duct	semicircular duct
Left_cerebral_hemisphere	Left_Cerebral_Hemisphere	left cerebral hemisphere
Acromioclavicular_joint	Acromioclavicular_Joint	acromioclavicular joint
Collagen_fiber	Collagen_Fiber	collagen fiber
Cricothyroid_muscle	Cricothyroid_Muscle	cricothyroid muscle
Posterior_parietal_artery	Posterior_Parietal_Artery	posterior parietal artery
Decidual_cell	Decidual_Cell	decidual cell
Femoral_artery	Femoral_Artery	femoral artery
Prostatic_epithelium	Prostatic_Epithelium	prostatic epithelium
Thyrohyoid_ligament	Thyrohyoid_Ligament	thyrohyoid ligament
Cutaneous_vein	Cutaneous_Vein	cutaneous vein
Retroperitoneal_space	Retroperitoneal_Space	retroperitoneal space
Ileocolic_vein	Ileocolic_Vein	ileocolic vein
Subarachnoid_cistern	Subarachnoid_Cistern	subarachnoid cistern
Esophageal_artery	Esophageal_Artery	esophageal artery
Nonmembranous_cytoplasmic_organelle	Nonmembranous_Cytoplasmic_Organelle	nonmembranous cytoplasmic organelle
Bulb_of_hair_follicle	Hair_Bulb	hair bulb
Vitelline_vein	Vitelline_Vein	vitelline vein
Interleukin_12	Therapeutic_Interleukin-12	interleukin iii
Interleukin_2	Interleukin-2	interleukin ii
Gastrocolic_ligament	Gastrocolic_Ligament	gastrocolic ligament
Lacrimal_sac	Lacrimal_Sac	lacrimal sac
Ovarian_vein	Ovarian_Vein	ovarian vein
Gingival_epithelium	Gingival_Epithelium	gingival epithelium
Labial_salivary_gland	Labial_Salivary_Gland	labial salivary gland
Cytoplasmic_organelle	Cytoplasmic_Organelle	cytoplasmic organelle
Pigmented_layer_of_retina	Retinal_Pigment_Epithelium	retinal pigment epithelium
Transfer_ribonucleic_acid	Transfer_RNA	transfer rna
Respiratory_bronchiole	Respiratory_Bronchiole	respiratory bronchiole
Columnar_cell	Columnar_Cell	columnar cell
Central_retinal_artery	Retinal_Artery	retinal artery
Ampullary_crest_of_semicircular_duct	Ampullary_Crest	ampullary crest
Inguinal_lymph_node	Inguinal_Lymph_Node	inguinal lymph node
Surface_of_bone	Bone_Surface	bone surface
Skin_of_abdomen	Abdominal_Skin	abdominal skin
Nucleus_of_brain	Brain_Nucleus	brain nucleus
First_thoracic_vertebra	T1_Vertebra	thoracic i vertebra
Theca_lutein_cell	Theca_Lutein_Cell	theca lutein cell
Columnar_cell_of_endocervix	Endocervical_Columnar_Cell	endocervical columnar cell
Granulosa_lutein_cell	Granulosa_Lutein_Cell	granulosa lutein cell
Macula_densa	Macula_Densa	macula densa
Temporal_fossa	Temporal_Fossa	temporal fossa
Cell_component	Cell_Part	cell component
Taste_bud_cell	Taste_Bud_Cell	taste bud cell
Intrapulmonary_bronchus	Intrapulmonary_Bronchus	intrapulmonary bronchus
Dopaminergic_neuron	Dopaminergic_Cell	dopaminergic cell
Yolk_sac	Yolk_Sac	yolk sac
Crypt_of_Lieberkuhn_of_large_intestine	Large_Intestinal_Crypt_of_the_Lieberkuhn	large intestinal crypt of lieberkuhn
Ciliary_muscle	Ciliary_Muscle	ciliary muscle
Chromophobe_cell	Chromophobe_Cell	chromophobe cell
Delta_cell	Delta_Cell	delta cell
Facial_vein	Facial_Vein	facial vein
Choroidal_fissure	Choroidal_Fissure	choroidal fissure
Umbilical_cord	Umbilical_Cord	umbilical cord
Anterior_spinal_artery	Anterior_Spinal_Artery	anterior spinal artery
Dentate_gyrus_of_hippocampal_formation	Dentate_Gyrus	dentate gyrus
Endodermal_cell	Endoderm_Cell	endodermal cell
Perineal_artery	Perineal_Artery	perineal artery
Posterior_auricular_vein	Posterior_Auricular_Vein	posterior auricular vein
Endocrine_cell	Endocrine_Cell_and_Neuroendocrine_Cell	endocrine cell
Nail_of_toe	Toe_Nail	toe nail
Palatine_bone	Palatine_Bone	palatine bone
Palatine_salivary_gland	Palatine_Salivary_Gland	palatine salivary gland
Goblet_cell	Goblet_Cell	goblet cell
Cervical_nerve	Cervical_Nerve	cervical nerve
Superficial_temporal_vein	Superficial_Temporal_Vein	superficial temporal vein
Collicular_artery	Quadrigeminal_Artery	quadrigeminal artery
Anal_sinus	Anal_Sinus	anal sinus
Nasal_cartilage	Nasal_Cartilage	nasal cartilage
Medial_tarsal_artery	Medial_Tarsal_Artery	medial tarsal artery
Nitrergic_neuron	Nitrergic_Neuron	nitrergic neuron
Lobar_bronchus	Lobar_Bronchus	secondary bronchus
Chest_wall	Chest_Wall	chest wall
Enteric_ganglion	Enteric_Ganglion	enteric ganglion
Axillary_artery	Axillary_Artery	axillary artery
Reticulocyte	Polychromatophilic_Erythrocyte	polychromatophilic erythrocyte
Mucosa_of_upper_lip	Mucosa_of_the_Upper_Lip	mucosa of upper lip
Ulnar_nerve	Ulnar_Nerve	ulnar nerve
Lumbar_vertebra	Lumbar_Vertebra	lumbar vertebra
Epiglottic_cartilage	Epiglottic_Cartilage	epiglottic cartilage
Glial_filament	Glial_Fibrillary_Acidic_Protein	glial fibrillary acidic protein
Totipotent_stem_cell	Totipotent_Stem_Cell	totipotent stem cell
Epithelium_of_respiratory_bronchiole	Respiratory_Bronchiole_Epithelium	respiratory bronchiole epithelium
Falx_cerebelli	Falx_Cerebelli	falx cerebelli
Lacrimal_bone	Lacrimal_Bone	lacrimal bone
Common_hepatic_duct	Hepatic_Duct	hepatic duct
Right_renal_vein	Right_Renal_Vein	right renal vein
Second_lumbar_vertebra	L2_Vertebra	lumbar ii vertebra
Terminal_sulcus	Sulcus_Terminalis	sulcus terminalis
Merkel_cell	Merkel_Cell	merkel cell
Anterior_olfactory_nucleus	Anterior_Olfactory_Nucleus	anterior olfactory nucleus
Endocrine_pancreas	Endocrine_Pancreas	endocrine pancreas
Iliocostalis_thoracis	Iliocostal_Muscle	iliocostalis thoracis
Valve_of_inferior_vena_cava	Eustachian_Valve	eustachian valve
Supramarginal_gyrus	Supramarginal_Gyrus	supramarginal gyrus
Xiphoid_process	Xiphoid_Process	xiphoid process
Pacinian_corpuscle	Vater-Pacini_Corpuscle	pacinian corpuscle
Autonomic_ganglion	Autonomic_Ganglion	autonomic ganglion
Renshaw_cell	Renshaw_Cell	renshaw cell
Cerebral_vein	Cerebral_Vein	cerebral vein
Epithelium_of_paranasal_sinus	Paranasal_Sinus_Epithelium	paranasal sinus epithelium
Skin_of_ankle	Ankle_Skin	ankle skin
Intestinal_mucosa	Intestinal_Mucosa	intestinal mucosa
Cochlear_labyrinth	Cochlear_Labyrinth	cochlear labyrinth
Posterior_choroidal_artery	Posterior_Choroidal_Artery	posterior choroidal artery
Basal_cell_layer_of_epidermis	Rete_Malpighii	stratum germinativum
Paneth_cell	Paneth_Cell	paneth cell
Intercostal_nerve	Intercostal_Nerve	intercostal nerve
Aqueous_humor_of_eyeball	Aqueous_Humor	aqueous humor
Cerebellar_vein	Cerebellar_Vein	cerebellar vein
Sciatic_nerve	Sciatic_Nerve	sciatic nerve
Ovarian_artery	Ovarian_Artery	ovarian artery
APUD_cell	APUD_Cell	apud cell
Hip_joint	Hip_Joint	hip joint
Phalanx_of_finger	Phalanx_of_the_Hand	bone of finger
Capitate	Capitate_Bone	capitate bone
Medial_meniscus	Meniscus_Medialis	medial meniscus
Masseteric_artery	Masseteric_Artery	masseteric artery
Lacrimal_gland	Lacrimal_Gland	lacrimal gland
Hyo_epiglottic_ligament	Hyoepiglottic_Ligament	hyoepiglottic ligament
Perineal_muscle	Perineal_Muscle	perineal muscle
Cerebrospinal_fluid	Cerebrospinal_Fluid	csf
Lingual_tonsil	Lingual_Tonsil	lingual tonsil
Pancreatic_centro_acinar_cell	Pancreatic_Centroacinar_Cell	pancreatic centroacinar cell
Apocrine_sweat_gland	Apocrine_Sweat_Gland	apocrine sweat gland
Inferior_epigastric_vein	Deep_Epigastric_Vein	inferior epigastric vein
Superior_mediastinum	Superior_Mediastinum	superior mediastinum
Body_of_pancreas	Body_of_the_Pancreas	body of pancreas
Umbilical_vein	Umbilical_Vein	umbilical vein
Interlobular_bile_duct	Interlobular_Bile_Duct	interlobular bile duct
Obturator_vein	Obturator_Vein	obturator vein
Gastric_gland	Fundic_Gland	gastric gland
Chemical_synapse	Chemical_Synapse	chemical synapse
Cuboidal_cell	Cuboidal_Cell	cuboidal cell
Gingiva	Gingiva	gum
Mitotic_chromosome	Mitotic_Chromosome	mitotic chromosome
Axosomatic_synapse	Axosomatic_Synapse	axosomatic synapse
Type_IV_taste_bud_cell	Taste_Bud_Basal_Cell	taste bud basal cell
Zona_pellucida	Zona_Pellucida	zona pellucida
Cisterna_chyli	Chyle_Cistern	chyle cistern
Nuclear_pore	Nuclear_Pore	nuclear pore
Intermediate_filament_protein	Intermediate_Filament_Protein	intermediate filament protein
Portal_triad	Portal_Triad	portal triad
Cutaneous_muscle	Cutaneous_Muscle	cutaneous muscle
Lateral_meniscus	Meniscus_Lateralis	lateral meniscus
Smooth_endoplasmic_reticulum	Smooth_Endoplasmic_Reticulum	smooth endoplasmic reticulum
